path,category,extension,width,height,mode,alpha,bytes
00_preview/asset-overview.jpg,00_preview,.jpg,1920,2500,RGB,no,607525
00_preview/characters-6stage-contact-sheet.jpg,00_preview,.jpg,1800,520,RGB,no,95765
00_preview/characters-6stage-original-preview.png,00_preview,.png,1626,366,RGB,no,68800
00_preview/monsters-contact-sheet.jpg,00_preview,.jpg,1600,970,RGB,no,151552
00_preview/store-items-contact-sheet.jpg,00_preview,.jpg,1800,2100,RGB,no,915146
00_preview/stretching-6moves-contact-sheet.jpg,00_preview,.jpg,1600,1120,RGB,no,258877
01_campus/campus-map-source.png,01_campus,.png,1536,1024,RGBA,yes,3793141
02_characters/tight_cutout_original_scale/stage-01-ppogak-turtle-tight.png,02_characters,.png,208,183,RGBA,yes,66200
02_characters/tight_cutout_original_scale/stage-02-kkumteul-turtle-tight.png,02_characters,.png,222,258,RGBA,yes,90491
02_characters/tight_cutout_original_scale/stage-03-ppaekkom-turtle-giraffe-tight.png,02_characters,.png,218,374,RGBA,yes,114342
02_characters/tight_cutout_original_scale/stage-04-bandeut-turtle-giraffe-tight.png,02_characters,.png,216,420,RGBA,yes,124765
02_characters/tight_cutout_original_scale/stage-05-jjukjjuk-giraffe-tight.png,02_characters,.png,234,595,RGBA,yes,168809
02_characters/tight_cutout_original_scale/stage-06-uttuk-giraffe-tight.png,02_characters,.png,238,696,RGBA,yes,199970
02_characters/web_ready_1024/stage-01-ppogak-turtle.png,02_characters,.png,1024,1024,RGBA,yes,107542
02_characters/web_ready_1024/stage-02-kkumteul-turtle.png,02_characters,.png,1024,1024,RGBA,yes,139978
02_characters/web_ready_1024/stage-03-ppaekkom-turtle-giraffe.png,02_characters,.png,1024,1024,RGBA,yes,166267
02_characters/web_ready_1024/stage-04-bandeut-turtle-giraffe.png,02_characters,.png,1024,1024,RGBA,yes,173233
02_characters/web_ready_1024/stage-05-jjukjjuk-giraffe.png,02_characters,.png,1024,1024,RGBA,yes,216203
02_characters/web_ready_1024/stage-06-uttuk-giraffe.png,02_characters,.png,1024,1024,RGBA,yes,255383
03_monsters/bookmong/bookmong-phase-01-idle.png,03_monsters,.png,1024,1024,RGBA,yes,741667
03_monsters/bookmong/bookmong-phase-02-idle.png,03_monsters,.png,1024,1024,RGBA,yes,997415
03_monsters/bookmong/bookmong-phase-03-idle.png,03_monsters,.png,1024,1024,RGBA,yes,1273565
03_monsters/bookmong/bookmong-phase-04-idle.png,03_monsters,.png,1024,1024,RGBA,yes,1464178
03_monsters/kkomong/MISSING_ASSET_KR.txt,03_monsters,.txt,,,,,280
03_monsters/neulmong/neulmong-phase-01-idle.png,03_monsters,.png,1024,1024,RGBA,yes,125701
03_monsters/neulmong/neulmong-phase-02-idle.png,03_monsters,.png,1024,1024,RGBA,yes,243222
03_monsters/neulmong/neulmong-phase-03-idle.png,03_monsters,.png,1024,1024,RGBA,yes,236273
03_monsters/neulmong/neulmong-phase-04-idle.png,03_monsters,.png,1024,1024,RGBA,yes,381450
04_store_items/01_app_layers/backpacks/freshman/stage_01_back.png,04_store_items,.png,1024,1024,RGBA,yes,45273
04_store_items/01_app_layers/backpacks/freshman/stage_01_front.png,04_store_items,.png,1024,1024,RGBA,yes,12959
04_store_items/01_app_layers/backpacks/freshman/stage_02_back.png,04_store_items,.png,1024,1024,RGBA,yes,54801
04_store_items/01_app_layers/backpacks/freshman/stage_02_front.png,04_store_items,.png,1024,1024,RGBA,yes,21758
04_store_items/01_app_layers/backpacks/freshman/stage_03_back.png,04_store_items,.png,1024,1024,RGBA,yes,51138
04_store_items/01_app_layers/backpacks/freshman/stage_03_front.png,04_store_items,.png,1024,1024,RGBA,yes,24347
04_store_items/01_app_layers/backpacks/freshman/stage_04_back.png,04_store_items,.png,1024,1024,RGBA,yes,49264
04_store_items/01_app_layers/backpacks/freshman/stage_04_front.png,04_store_items,.png,1024,1024,RGBA,yes,23914
04_store_items/01_app_layers/backpacks/freshman/stage_05_back.png,04_store_items,.png,1024,1024,RGBA,yes,49672
04_store_items/01_app_layers/backpacks/freshman/stage_05_front.png,04_store_items,.png,1024,1024,RGBA,yes,22456
04_store_items/01_app_layers/backpacks/freshman/stage_06_back.png,04_store_items,.png,1024,1024,RGBA,yes,49577
04_store_items/01_app_layers/backpacks/freshman/stage_06_front.png,04_store_items,.png,1024,1024,RGBA,yes,21630
04_store_items/01_app_layers/backpacks/library/stage_01_back.png,04_store_items,.png,1024,1024,RGBA,yes,46017
04_store_items/01_app_layers/backpacks/library/stage_01_front.png,04_store_items,.png,1024,1024,RGBA,yes,12661
04_store_items/01_app_layers/backpacks/library/stage_02_back.png,04_store_items,.png,1024,1024,RGBA,yes,55619
04_store_items/01_app_layers/backpacks/library/stage_02_front.png,04_store_items,.png,1024,1024,RGBA,yes,21541
04_store_items/01_app_layers/backpacks/library/stage_03_back.png,04_store_items,.png,1024,1024,RGBA,yes,51935
04_store_items/01_app_layers/backpacks/library/stage_03_front.png,04_store_items,.png,1024,1024,RGBA,yes,24202
04_store_items/01_app_layers/backpacks/library/stage_04_back.png,04_store_items,.png,1024,1024,RGBA,yes,50134
04_store_items/01_app_layers/backpacks/library/stage_04_front.png,04_store_items,.png,1024,1024,RGBA,yes,23838
04_store_items/01_app_layers/backpacks/library/stage_05_back.png,04_store_items,.png,1024,1024,RGBA,yes,50370
04_store_items/01_app_layers/backpacks/library/stage_05_front.png,04_store_items,.png,1024,1024,RGBA,yes,22188
04_store_items/01_app_layers/backpacks/library/stage_06_back.png,04_store_items,.png,1024,1024,RGBA,yes,50264
04_store_items/01_app_layers/backpacks/library/stage_06_front.png,04_store_items,.png,1024,1024,RGBA,yes,21433
04_store_items/01_app_layers/backpacks/team_project/stage_01_back.png,04_store_items,.png,1024,1024,RGBA,yes,50334
04_store_items/01_app_layers/backpacks/team_project/stage_01_front.png,04_store_items,.png,1024,1024,RGBA,yes,12868
04_store_items/01_app_layers/backpacks/team_project/stage_02_back.png,04_store_items,.png,1024,1024,RGBA,yes,61248
04_store_items/01_app_layers/backpacks/team_project/stage_02_front.png,04_store_items,.png,1024,1024,RGBA,yes,21667
04_store_items/01_app_layers/backpacks/team_project/stage_03_back.png,04_store_items,.png,1024,1024,RGBA,yes,56260
04_store_items/01_app_layers/backpacks/team_project/stage_03_front.png,04_store_items,.png,1024,1024,RGBA,yes,24308
04_store_items/01_app_layers/backpacks/team_project/stage_04_back.png,04_store_items,.png,1024,1024,RGBA,yes,54254
04_store_items/01_app_layers/backpacks/team_project/stage_04_front.png,04_store_items,.png,1024,1024,RGBA,yes,23902
04_store_items/01_app_layers/backpacks/team_project/stage_05_back.png,04_store_items,.png,1024,1024,RGBA,yes,54020
04_store_items/01_app_layers/backpacks/team_project/stage_05_front.png,04_store_items,.png,1024,1024,RGBA,yes,22384
04_store_items/01_app_layers/backpacks/team_project/stage_06_back.png,04_store_items,.png,1024,1024,RGBA,yes,54154
04_store_items/01_app_layers/backpacks/team_project/stage_06_front.png,04_store_items,.png,1024,1024,RGBA,yes,21574
04_store_items/01_app_layers/jackets/burgundy/stage_01_jacket.png,04_store_items,.png,1024,1024,RGBA,yes,39176
04_store_items/01_app_layers/jackets/burgundy/stage_02_jacket.png,04_store_items,.png,1024,1024,RGBA,yes,65077
04_store_items/01_app_layers/jackets/burgundy/stage_03_jacket.png,04_store_items,.png,1024,1024,RGBA,yes,71601
04_store_items/01_app_layers/jackets/burgundy/stage_04_jacket.png,04_store_items,.png,1024,1024,RGBA,yes,71025
04_store_items/01_app_layers/jackets/burgundy/stage_05_jacket.png,04_store_items,.png,1024,1024,RGBA,yes,66291
04_store_items/01_app_layers/jackets/burgundy/stage_06_jacket.png,04_store_items,.png,1024,1024,RGBA,yes,61979
04_store_items/01_app_layers/jackets/coral/stage_01_jacket.png,04_store_items,.png,1024,1024,RGBA,yes,41503
04_store_items/01_app_layers/jackets/coral/stage_02_jacket.png,04_store_items,.png,1024,1024,RGBA,yes,69340
04_store_items/01_app_layers/jackets/coral/stage_03_jacket.png,04_store_items,.png,1024,1024,RGBA,yes,76273
04_store_items/01_app_layers/jackets/coral/stage_04_jacket.png,04_store_items,.png,1024,1024,RGBA,yes,75871
04_store_items/01_app_layers/jackets/coral/stage_05_jacket.png,04_store_items,.png,1024,1024,RGBA,yes,70848
04_store_items/01_app_layers/jackets/coral/stage_06_jacket.png,04_store_items,.png,1024,1024,RGBA,yes,66230
04_store_items/01_app_layers/jackets/forest/stage_01_jacket.png,04_store_items,.png,1024,1024,RGBA,yes,38286
04_store_items/01_app_layers/jackets/forest/stage_02_jacket.png,04_store_items,.png,1024,1024,RGBA,yes,63281
04_store_items/01_app_layers/jackets/forest/stage_03_jacket.png,04_store_items,.png,1024,1024,RGBA,yes,69607
04_store_items/01_app_layers/jackets/forest/stage_04_jacket.png,04_store_items,.png,1024,1024,RGBA,yes,69230
04_store_items/01_app_layers/jackets/forest/stage_05_jacket.png,04_store_items,.png,1024,1024,RGBA,yes,64411
04_store_items/01_app_layers/jackets/forest/stage_06_jacket.png,04_store_items,.png,1024,1024,RGBA,yes,61191
04_store_items/01_app_layers/jackets/navy/stage_01_jacket.png,04_store_items,.png,1024,1024,RGBA,yes,37844
04_store_items/01_app_layers/jackets/navy/stage_02_jacket.png,04_store_items,.png,1024,1024,RGBA,yes,62241
04_store_items/01_app_layers/jackets/navy/stage_03_jacket.png,04_store_items,.png,1024,1024,RGBA,yes,68719
04_store_items/01_app_layers/jackets/navy/stage_04_jacket.png,04_store_items,.png,1024,1024,RGBA,yes,68363
04_store_items/01_app_layers/jackets/navy/stage_05_jacket.png,04_store_items,.png,1024,1024,RGBA,yes,63470
04_store_items/01_app_layers/jackets/navy/stage_06_jacket.png,04_store_items,.png,1024,1024,RGBA,yes,60436
04_store_items/02_equipped_previews/backpacks/freshman/stage_01_equipped.png,04_store_items,.png,1024,1024,RGBA,yes,118855
04_store_items/02_equipped_previews/backpacks/freshman/stage_02_equipped.png,04_store_items,.png,1024,1024,RGBA,yes,158020
04_store_items/02_equipped_previews/backpacks/freshman/stage_03_equipped.png,04_store_items,.png,1024,1024,RGBA,yes,182715
04_store_items/02_equipped_previews/backpacks/freshman/stage_04_equipped.png,04_store_items,.png,1024,1024,RGBA,yes,188076
04_store_items/02_equipped_previews/backpacks/freshman/stage_05_equipped.png,04_store_items,.png,1024,1024,RGBA,yes,240253
04_store_items/02_equipped_previews/backpacks/freshman/stage_06_equipped.png,04_store_items,.png,1024,1024,RGBA,yes,274448
04_store_items/02_equipped_previews/backpacks/library/stage_01_equipped.png,04_store_items,.png,1024,1024,RGBA,yes,119666
04_store_items/02_equipped_previews/backpacks/library/stage_02_equipped.png,04_store_items,.png,1024,1024,RGBA,yes,159324
04_store_items/02_equipped_previews/backpacks/library/stage_03_equipped.png,04_store_items,.png,1024,1024,RGBA,yes,184194
04_store_items/02_equipped_previews/backpacks/library/stage_04_equipped.png,04_store_items,.png,1024,1024,RGBA,yes,189781
04_store_items/02_equipped_previews/backpacks/library/stage_05_equipped.png,04_store_items,.png,1024,1024,RGBA,yes,242625
04_store_items/02_equipped_previews/backpacks/library/stage_06_equipped.png,04_store_items,.png,1024,1024,RGBA,yes,276211
04_store_items/02_equipped_previews/backpacks/team_project/stage_01_equipped.png,04_store_items,.png,1024,1024,RGBA,yes,119011
04_store_items/02_equipped_previews/backpacks/team_project/stage_02_equipped.png,04_store_items,.png,1024,1024,RGBA,yes,158434
04_store_items/02_equipped_previews/backpacks/team_project/stage_03_equipped.png,04_store_items,.png,1024,1024,RGBA,yes,183069
04_store_items/02_equipped_previews/backpacks/team_project/stage_04_equipped.png,04_store_items,.png,1024,1024,RGBA,yes,189012
04_store_items/02_equipped_previews/backpacks/team_project/stage_05_equipped.png,04_store_items,.png,1024,1024,RGBA,yes,243259
04_store_items/02_equipped_previews/backpacks/team_project/stage_06_equipped.png,04_store_items,.png,1024,1024,RGBA,yes,276228
04_store_items/02_equipped_previews/jackets/burgundy/stage_01_equipped.png,04_store_items,.png,1024,1024,RGBA,yes,109182
04_store_items/02_equipped_previews/jackets/burgundy/stage_02_equipped.png,04_store_items,.png,1024,1024,RGBA,yes,143431
04_store_items/02_equipped_previews/jackets/burgundy/stage_03_equipped.png,04_store_items,.png,1024,1024,RGBA,yes,171508
04_store_items/02_equipped_previews/jackets/burgundy/stage_04_equipped.png,04_store_items,.png,1024,1024,RGBA,yes,178548
04_store_items/02_equipped_previews/jackets/burgundy/stage_05_equipped.png,04_store_items,.png,1024,1024,RGBA,yes,219683
04_store_items/02_equipped_previews/jackets/burgundy/stage_06_equipped.png,04_store_items,.png,1024,1024,RGBA,yes,261403
04_store_items/02_equipped_previews/jackets/coral/stage_01_equipped.png,04_store_items,.png,1024,1024,RGBA,yes,109806
04_store_items/02_equipped_previews/jackets/coral/stage_02_equipped.png,04_store_items,.png,1024,1024,RGBA,yes,146960
04_store_items/02_equipped_previews/jackets/coral/stage_03_equipped.png,04_store_items,.png,1024,1024,RGBA,yes,175620
04_store_items/02_equipped_previews/jackets/coral/stage_04_equipped.png,04_store_items,.png,1024,1024,RGBA,yes,182195
04_store_items/02_equipped_previews/jackets/coral/stage_05_equipped.png,04_store_items,.png,1024,1024,RGBA,yes,222389
04_store_items/02_equipped_previews/jackets/coral/stage_06_equipped.png,04_store_items,.png,1024,1024,RGBA,yes,264788
04_store_items/02_equipped_previews/jackets/forest/stage_01_equipped.png,04_store_items,.png,1024,1024,RGBA,yes,108989
04_store_items/02_equipped_previews/jackets/forest/stage_02_equipped.png,04_store_items,.png,1024,1024,RGBA,yes,141809
04_store_items/02_equipped_previews/jackets/forest/stage_03_equipped.png,04_store_items,.png,1024,1024,RGBA,yes,169608
04_store_items/02_equipped_previews/jackets/forest/stage_04_equipped.png,04_store_items,.png,1024,1024,RGBA,yes,176708
04_store_items/02_equipped_previews/jackets/forest/stage_05_equipped.png,04_store_items,.png,1024,1024,RGBA,yes,217951
04_store_items/02_equipped_previews/jackets/forest/stage_06_equipped.png,04_store_items,.png,1024,1024,RGBA,yes,259712
04_store_items/02_equipped_previews/jackets/navy/stage_01_equipped.png,04_store_items,.png,1024,1024,RGBA,yes,108840
04_store_items/02_equipped_previews/jackets/navy/stage_02_equipped.png,04_store_items,.png,1024,1024,RGBA,yes,141216
04_store_items/02_equipped_previews/jackets/navy/stage_03_equipped.png,04_store_items,.png,1024,1024,RGBA,yes,168882
04_store_items/02_equipped_previews/jackets/navy/stage_04_equipped.png,04_store_items,.png,1024,1024,RGBA,yes,176086
04_store_items/02_equipped_previews/jackets/navy/stage_05_equipped.png,04_store_items,.png,1024,1024,RGBA,yes,217191
04_store_items/02_equipped_previews/jackets/navy/stage_06_equipped.png,04_store_items,.png,1024,1024,RGBA,yes,259075
04_store_items/03_base_characters/stage_01_ppogak_turtle.png,04_store_items,.png,1024,1024,RGBA,yes,107542
04_store_items/03_base_characters/stage_02_kkumteul_turtle.png,04_store_items,.png,1024,1024,RGBA,yes,139978
04_store_items/03_base_characters/stage_03_ppaekkom_turtle_giraffe.png,04_store_items,.png,1024,1024,RGBA,yes,166267
04_store_items/03_base_characters/stage_04_bandeut_turtle_giraffe.png,04_store_items,.png,1024,1024,RGBA,yes,173233
04_store_items/03_base_characters/stage_05_jjukjjuk_giraffe.png,04_store_items,.png,1024,1024,RGBA,yes,216203
04_store_items/03_base_characters/stage_06_uttuk_giraffe.png,04_store_items,.png,1024,1024,RGBA,yes,255383
04_store_items/04_contact_sheets/UpRight_Now_Item_Layers_Stage_1-6_preview.jpg,04_store_items,.jpg,1800,2100,RGB,no,915146
04_store_items/04_contact_sheets/backpack_freshman_stages_01-06.jpg,04_store_items,.jpg,1260,840,RGB,no,231794
04_store_items/04_contact_sheets/backpack_library_stages_01-06.jpg,04_store_items,.jpg,1260,840,RGB,no,231786
04_store_items/04_contact_sheets/backpack_team_project_stages_01-06.jpg,04_store_items,.jpg,1260,840,RGB,no,238738
04_store_items/04_contact_sheets/full_stack_navy_jacket_plus_freshman_backpack.jpg,04_store_items,.jpg,1260,840,RGB,no,242136
04_store_items/04_contact_sheets/jacket_burgundy_stages_01-06.jpg,04_store_items,.jpg,1260,840,RGB,no,222508
04_store_items/04_contact_sheets/jacket_coral_stages_01-06.jpg,04_store_items,.jpg,1260,840,RGB,no,225115
